Plot,TREAT,gs,Biomass_g.m2,AnRF,CC,StemElongation_mm.month
2,50,2013,10.52,72.92,herbaceous,
4,100,2013,33.16,156.8,herbaceous,
6,50,2013,22.45,72.92,herbaceous,
8,150,2013,141.18,237.95,herbaceous,
10,100,2013,73.52,156.8,herbaceous,
12,100,2013,40.38,156.8,herbaceous,
14,100,2013,57.78,156.8,herbaceous,
16,150,2013,158.57,237.95,herbaceous,
18,50,2013,44.37,72.92,herbaceous,
20,100,2013,109.08,156.8,herbaceous,
22,150,2013,94.94,237.95,herbaceous,
24,50,2013,19.22,72.92,herbaceous,
26,150,2013,220.06,237.95,herbaceous,
28,50,2013,3.86,72.92,herbaceous,
30,150,2013,172.05,237.95,herbaceous,
2,50,2014,5.2,63,herbaceous,
4,100,2014,15.3,125.67,herbaceous,
6,50,2014,0,63,herbaceous,
8,150,2014,68.3,188.66,herbaceous,
10,100,2014,14.45,125.67,herbaceous,
12,100,2014,7.83,125.67,herbaceous,
14,100,2014,7.8,125.67,herbaceous,
16,150,2014,18.3,188.66,herbaceous,
18,50,2014,0,63,herbaceous,
20,100,2014,22.62,125.67,herbaceous,
22,150,2014,25.9,188.66,herbaceous,
24,50,2014,0,63,herbaceous,
26,150,2014,280.39,188.66,herbaceous,
28,50,2014,0,63,herbaceous,
30,150,2014,56.1,188.66,herbaceous,
2,50,2015,38.81,70.04,herbaceous,
4,100,2015,90.78,139.38,herbaceous,
6,50,2015,16.75,70.04,herbaceous,
8,150,2015,124.55,208.66,herbaceous,
10,100,2015,52.28,139.38,herbaceous,
12,100,2015,77.63,139.38,herbaceous,
14,100,2015,109.73,139.38,herbaceous,
16,150,2015,52.23,208.66,herbaceous,
18,50,2015,21.83,70.04,herbaceous,
20,100,2015,34.05,139.38,herbaceous,
22,150,2015,14.24,208.66,herbaceous,
24,50,2015,31.86,70.04,herbaceous,
26,150,2015,148.22,208.66,herbaceous,
28,50,2015,31.95,70.04,herbaceous,
30,150,2015,214.65,208.66,herbaceous,
2,50,2016,26,78.56,herbaceous,
4,100,2016,87.4,156.42,herbaceous,
6,50,2016,12.2,78.56,herbaceous,
8,150,2016,325.5,235.72,herbaceous,
10,100,2016,145.9,156.42,herbaceous,
12,100,2016,278.3,156.42,herbaceous,
14,100,2016,73.97,156.42,herbaceous,
16,150,2016,154,235.72,herbaceous,
18,50,2016,35.5,78.56,herbaceous,
20,100,2016,172.1,156.42,herbaceous,
22,150,2016,334.8,235.72,herbaceous,
24,50,2016,2.63,78.56,herbaceous,
26,150,2016,254.2,235.72,herbaceous,
28,50,2016,3.24,78.56,herbaceous,
30,150,2016,416.9,235.72,herbaceous,
1,50,2013,NA,72.92,shrub,64.61125
1,50,2014,397.6657363,63,shrub,22.391
1,50,2015,497.3613419,70.04,shrub,25.30909
1,50,2016,605.1151004,78.56,shrub,
3,100,2013,NA,156.8,shrub,71.16875
3,100,2014,411.4441648,125.67,shrub,30.80815
3,100,2015,725.955685,139.38,shrub,32.54545
3,100,2016,1100.433257,156.42,shrub,
5,50,2013,NA,72.92,shrub,35.37222
5,50,2014,408.6936923,63,shrub,14.42817
5,50,2015,463.709096,70.04,shrub,24.54545
5,50,2016,495.6998783,78.56,shrub,
7,150,2013,NA,237.95,shrub,102.25185
7,150,2014,696.2592198,188.66,shrub,41.173
7,150,2015,848.5121421,208.66,shrub,35.51313
7,150,2016,460.427281,235.72,shrub,
9,100,2013,NA,156.8,shrub,112.63185
9,100,2014,582.8607912,125.67,shrub,31.93783
9,100,2015,593.5156092,139.38,shrub,32.9899
9,100,2016,466.1873555,156.42,shrub,
11,100,2013,NA,156.8,shrub,55.07867
11,100,2014,337.3047363,125.67,shrub,28.60333
11,100,2015,1368.976853,139.38,shrub,57.60606
11,100,2016,1005.346464,156.42,shrub,
13,100,2013,NA,156.8,shrub,71.25367
13,100,2014,401.2669011,125.67,shrub,27.588
13,100,2015,517.0624649,139.38,shrub,52.85455
13,100,2016,280.4997947,156.42,shrub,
15,150,2013,NA,237.95,shrub,58.10667
15,150,2014,659.4806703,188.66,shrub,23.647
15,150,2015,1005.104141,208.66,shrub,29.85859
15,150,2016,930.1335995,235.72,shrub,
17,50,2013,NA,72.92,shrub,48.56667
17,50,2014,866.9773736,63,shrub,44.35185
17,50,2015,942.2130685,70.04,shrub,65.79545
17,50,2016,1074.980201,78.56,shrub,
19,100,2013,NA,156.8,shrub,38.76958
19,100,2014,461.9443956,125.67,shrub,12.3385
19,100,2015,616.764009,139.38,shrub,31.6
19,100,2016,724.3911192,156.42,shrub,
21,150,2013,NA,237.95,shrub,66.37407
21,150,2014,506.2446264,188.66,shrub,16.9813
21,150,2015,1513.177077,208.66,shrub,14.36364
21,150,2016,385.386945,235.72,shrub,
23,50,2013,NA,72.92,shrub,44.87667
23,50,2014,379.4601209,63,shrub,21.60278
23,50,2015,561.4311763,70.04,shrub,20.52525
23,50,2016,560.6048814,78.56,shrub,
25,150,2013,NA,237.95,shrub,77.27556
25,150,2014,1022.372187,188.66,shrub,28.14467
25,150,2015,1797.023414,208.66,shrub,27.45455
25,150,2016,814.5591583,235.72,shrub,
27,50,2013,NA,72.92,shrub,49.175
27,50,2014,473.3671758,63,shrub,17.41967
27,50,2015,428.8398231,70.04,shrub,25.77273
27,50,2016,903.9607778,78.56,shrub,
29,150,2013,NA,237.95,shrub,80.09417
29,150,2014,912.0738462,188.66,shrub,16.9365
29,150,2015,641.3335626,208.66,shrub,36.40909
29,150,2016,469.1948829,235.72,shrub,
