date,STATION,mm.100,mm.50,mm.150
11/19/12,Manipulation,3.34,1.67,5
12/3/12,Manipulation,7.6,3.8,11.49
12/17/12,Manipulation,27.8,18.9,27.8
12/19/12,Manipulation,10.38,0,29.28
12/28/12,Manipulation,8.34,0,12.42
1/2/13,Manipulation,14.83,6.67,25.2
1/7/13,Manipulation,2.22,1.11,3.71
1/28/13,Manipulation,14.46,7.41,21.87
2/11/13,Manipulation,9.27,4.45,13.71
2/12/13,Manipulation,0,0,31.5
2/25/13,Manipulation,23.35,11.49,3.34
3/12/13,Manipulation,27.8,17.42,27.8
3/13/13,Manipulation,7.41,0,24.83
10/14/13,Manipulation,4.45,2.22,6.67
10/31/13,Manipulation,5.56,2.59,8.15
11/20/13,Manipulation,2.97,1.48,4.08
11/25/13,Manipulation,15.2,7.78,22.98
12/5/13,Manipulation,5.19,2.59,7.78
12/10/13,Manipulation,7.41,3.71,11.12
12/21/13,Manipulation,9.64,4.82,14.46
3/2/14,Manipulation,14.83,7.41,22.61
2/10/14,Manipulation,4.45,2.22,6.67
3/4/14,Manipulation,18.16,9.27,27.43
3/5/14,Manipulation,18.16,9.27,27.43
3/7/14,Manipulation,9.27,4.45,13.71
4/2/14,Manipulation,10.38,5.19,15.57
11/6/14,Manipulation,4.82,2.59,7.41
12/8/14,Manipulation,15.57,7.78,22.98
12/9/14,Manipulation,15.57,7.78,22.98
12/10/14,Manipulation,11.49,5.93,17.42
12/17/14,Manipulation,16.68,8.15,24.83
12/18/14,Manipulation,16.68,8.15,24.83
12/19/14,Manipulation,9.27,4.82,14.08
1/5/15,Manipulation,9.27,4.82,14.08
1/13/15,Manipulation,4.82,2.59,7.41
2/2/15,Manipulation,6.3,2.97,9.27
2/25/15,Manipulation,11.12,5.56,16.68
3/3/15,Manipulation,17.79,8.9,26.69
10/8/15,Manipulation,18.9,9.27,28.17
11/9/15,Manipulation,4.45,2.22,7.04
11/12/15,Manipulation,4.08,2.22,6.3
