"PLOT","DATE","mean","se"
1,2012-11-16,0.178541128752013,0.0940457576272889
2,2012-11-16,0.0217780293824594,0.0081346447628795
3,2012-11-16,0.146630108481322,0.0634659309630724
4,2012-11-16,0.00978283429162018,0.00777399751537834
5,2012-11-16,0.128245374839461,0.0338941251668006
6,2012-11-16,0.0081476896916481,0.0049919391911391
7,2012-11-16,0.187486851255181,0.100518491804964
8,2012-11-16,0.00404801083358117,0.00298671230611551
9,2012-11-16,0.181698148658163,0.0430233376295033
10,2012-11-16,-0.00166206318247166,0.00232468722714876
11,2012-11-16,0.0924543762303016,0.00961520974628382
12,2012-11-16,0.00766462541100084,0.00123277576633856
13,2012-11-16,0.0777994425871731,0.0242593048035235
14,2012-11-16,-0.0039970748153984,0.00448387764582963
15,2012-11-16,0.198616102518737,0.0510058783786576
16,2012-11-16,-0.0104871932975113,0.000592839206510703
17,2012-11-16,0.182194288963046,0.0615590646902708
18,2012-11-16,-0.00969084375807559,0.00432490433089925
19,2012-11-16,0.257020438316073,0.0277403786380472
20,2012-11-16,-0.00338994708448495,0.00196667114902564
21,2012-11-16,0.154456851398501,0.0300831660006103
22,2012-11-16,0.0202137636910247,0.00260115646602056
23,2012-11-16,0.154724471138926,0.0512071210699271
24,2012-11-16,-0.00244498832277654,0.00286195930546706
25,2012-11-16,0.312396037025189,0.0602251891535704
26,2012-11-16,0.0544322306593348,0.004021140810791
27,2012-11-16,0.0850292768349476,0.0288391522122262
28,2012-11-16,0.00939565231046696,0.00610388243472418
29,2012-11-16,0.391805774283465,0.072166671438357
30,2012-11-16,0.0247897507096211,0.0101995001927817
1,2012-11-27,0.231457505361918,0.102489625331193
2,2012-11-27,0.0205046516202086,0.00290886415053559
3,2012-11-27,0.160152490827041,0.0649414830269302
4,2012-11-27,0.0111965525494623,0.00346687881481498
5,2012-11-27,0.171256219804098,0.0410161726717961
6,2012-11-27,0.0349862468457317,0.00138508667221528
7,2012-11-27,0.254312081573393,0.0864800442132233
8,2012-11-27,0.0186133662078904,0.00240105031351549
9,2012-11-27,0.218599225942681,0.0522279566234644
10,2012-11-27,0.0169365216960973,0.00173706635127767
11,2012-11-27,0.120275114734674,0.0235565610148587
12,2012-11-27,0.0278453454041776,0.00502065240261707
13,2012-11-27,0.0797636231051892,0.0159534332869707
14,2012-11-27,0.010227471794891,0.00532698062527369
15,2012-11-27,0.271839783910755,0.0863688221440354
16,2012-11-27,0.0022768556698375,0.00363412462738592
17,2012-11-27,0.206110429052889,0.0679020995436599
18,2012-11-27,-0.00425743736403358,0.00333816228341195
19,2012-11-27,0.332487935358413,0.0389431170816389
20,2012-11-27,0.000901362199479907,0.002575859142531
21,2012-11-27,0.139547527541414,0.0292153978135814
22,2012-11-27,0.0111567403392357,0.000303053086440416
23,2012-11-27,0.143632164495994,0.00836737466923023
24,2012-11-27,0.0115606462073998,0.00530300882258309
25,2012-11-27,0.359391065051593,0.0802089333143439
26,2012-11-27,0.0246521169051078,0.00400155752027381
